,Adresse,lat,lon,Firmen,Telbuch
41,"Blegistrasse 9, 6340 Baar",47.2159991,8.570899599999999,43,14
50,"Eichmattstrasse 97, 6333 Hünenberg See",47.1792367,8.443230999999999,34,4
63,"Bahnhofstrasse 9, 6341 Baar",47.3681441,8.5393976,24,2
97,"Luzernerstrasse 72, 6333 Hünenberg See",47.1754141,8.4508203,15,9
122,"Oberneuhofstrasse 5, 6341 Baar",47.1890701,8.5164049,12,1
195,"Zugerstrasse 195, 6314 Unterägeri",47.1525436,8.5626472,8,5
197,"Erlenweg 8, 6312 Steinhausen",47.1868503,8.491612,8,4
227,"Suurstoffi 12B, 6343 Rotkreuz",47.14392,8.435373,7,0
291,"Luzernerstrasse 103, 6333 Hünenberg See",47.172957,8.448927,6,3
294,"Suurstoffi 12A, 6343 Rotkreuz",47.1437533,8.4354488,6,1
319,"Suurstoffi 18B, 6343 Rotkreuz",47.144433,8.4374913,5,2
323,"Beim Bahnhof 3, 6312 Steinhausen",47.1918765,8.4777863,5,1
354,"Langrüti 1, 6333 Hünenberg See",47.16364919999999,8.4455595,5,18
364,"Huobstrasse 25, 6333 Hünenberg See",47.1759536,8.4450829,5,1
366,"Asylstrasse 8, 6340 Baar",47.1942822,8.5214914,5,11
377,"Eichrüti 21A, 6333 Hünenberg See",47.1677448,8.4483274,5,4
387,"Unterer Chämletenweg 24, 6333 Hünenberg See",47.1690184,8.4487603,4,3
404,"Birkenhof 1, 6333 Hünenberg See",47.1771936,8.4271865,4,1
424,"St. Andreas 7, 6330 Cham",47.1797961,8.466920199999999,4,4
444,"Suurstoffi 3A, 6343 Rotkreuz",47.1440193,8.4331985,4,4
459,"Dorfstrasse 9, 6319 Allenwinden",47.1641816,8.5554851,4,10
468,"Obere Rebhalde 26, 6340 Baar",47.20628019999999,8.5207575,4,2
474,"Sattelstrasse 5, 631503 Morgarten",47.1036118,8.640518199999999,4,0
479,"Sattelstrasse 3, 631503 Morgarten",47.1036118,8.640518199999999,4,0
530,"Suurstoffi 10A, 6343 Rotkreuz",47.1435744,8.4345564,3,1
547,"Huobrain 11, 6333 Hünenberg See",47.1774778,8.442178499999999,3,3
549,"Suurstoffi 18, 6343 Rotkreuz",47.1444097,8.4373806,3,5
551,"Huobrain 9B, 6333 Hünenberg See",47.17762,8.4423791,3,1
571,"Eichrüti 26, 6333 Hünenberg See",47.1686676,8.4487537,3,6
603,"Eichrüti 5, 6333 Hünenberg See",47.1672006,8.4478159,3,5
605,"Teufli 3, 631503 Morgarten",47.10194,8.6393684,3,0
611,"Rosenbergweg 7A, 6300 Zug",47.1664776,8.521416799999999,3,1
641,"Luzernerstrasse 78, 6333 Hünenberg See",47.1756854,8.4496381,3,6
644,"Luzernerstrasse 89, 6333 Hünenberg See",47.1744913,8.4503939,3,3
646,"Luzernerstrasse 90, 6333 Hünenberg See",47.1750588,8.4492833,3,32
652,"Birchliweg 7B, 631502 Alosen",12.8996987,9.67266320000002,3,0
661,"Luzernerstrasse 105, 6333 Hünenberg See",47.1724537,8.4488779,3,3
671," , 6330 Cham",47.181225,8.4592089,3,4232
701,"Wiesenweg 3, 6312 Steinhausen",47.200052,8.484225799999999,3,4
725,"Rebhalde 9, 6340 Baar",47.2054912,8.5198498,3,1
729,"Langholzstrasse 17, 6333 Hünenberg See",47.1727216,8.447315699999999,3,1
754,"Hasleren 3, 631503 Oberägeri",47.10567469999999,8.6413231,2,0
812,"Seemattstrasse 21A, 6333 Hünenberg See",47.1748035,8.451718999999999,2,1
824,"Seemattstrasse 25, 6333 Hünenberg See",47.1745903,8.4514116,2,1
828,"Seemattstrasse 4, 6333 Hünenberg See",47.1734357,8.4517723,2,5
842,"Grundstrasse 1, 6340 Baar",47.192074,8.5295758,2,14
915,"Zythusmatt 6, 6333 Hünenberg See",47.1742706,8.4484747,2,4
916,"Luzernerstrasse 74A, 6333 Hünenberg See",47.1756752,8.450798899999999,2,7
926,"Luzernerstrasse 107, 6333 Hünenberg See",47.1720632,8.4489225,2,6
930,"Orenberg , 6330 Cham",47.19994,8.44787,2,2
936,"Oberer Chämletenweg 34A, 6333 Hünenberg See",47.1709453,8.447600399999999,2,3
938,"Neufeldweg 7, 6340 Baar",47.1876164,8.5203262,2,1
951,"Neuhofweg 7, 634302 Buonas",47.1392366,8.4562602,2,0
978,"Oberer Chämletenweg 35B, 6333 Hünenberg See",47.1708794,8.4478733,2,0
991,"Oberer Chämletenweg 39C, 6333 Hünenberg See",47.1701044,8.4480157,2,1
993,"Zythusmatt 23, 6333 Hünenberg See",47.17533239999999,8.4472557,2,4
1002,"Rotenbach , 6313 Edlibach",47.1633181,8.5715047,2,1
1032,"Huobstrasse 7, 6333 Hünenberg See",47.1739909,8.4469414,2,12
1033,"Huobweid 5, 6333 Hünenberg See",47.17871299999999,8.444946,2,3
1054,"Im Bösch 37, 6331 Hünenberg",47.1617007,8.4410254,2,0
1055,"Im Bösch 71, 6331 Hünenberg",47.1617007,8.4410254,2,0
1067,"Langholzstrasse 26, 6333 Hünenberg See",47.1727527,8.4458272,2,1
1069,"Langholzstrasse 44, 6333 Hünenberg See",47.17228859999999,8.4469149,2,3
1070,"Langholzstrasse 9, 6333 Hünenberg See",47.1733293,8.447106999999999,2,0
1073,"Langweid 21, 6333 Hünenberg See",47.1802152,8.4444386,2,7
1074,"Zythusmatt 12, 6333 Hünenberg See",47.1748158,8.4482761,2,4
