,output,Adresse
0,"{'results': [{'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Haldenstrasse', 'short_name': 'Haldenstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Haldenstrasse 5, 6340 Baar, Switzerland', 'geometry': {'location': {'lat': 47.1960393, 'lng': 8.538261499999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.19738828029149, 'lng': 8.5396104802915}, 'southwest': {'lat': 47.1946903197085, 'lng': 8.536912519708498}}}, 'partial_match': True, 'place_id': 'ChIJn-mayMyrmkcRHHbQj9fra68', 'plus_code': {'compound_code': '5GWQ+C8 Baar, Switzerland', 'global_code': '8FVC5GWQ+C8'}, 'types': ['street_address']}], 'status': 'OK'}","Haldenstrasse 5, 6340 Baar"
1,"{'results': [{'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Gewerbestrasse', 'short_name': 'Gewerbestrasse', 'types': ['route']}, {'long_name': 'Cham', 'short_name': 'Cham', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6330', 'short_name': '6330', 'types': ['postal_code']}], 'formatted_address': 'Gewerbestrasse 5, 6330 Cham, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.1886032, 'lng': 8.4736658}, 'southwest': {'lat': 47.1881553, 'lng': 8.4730358}}, 'location': {'lat': 47.1883571, 'lng': 8.4734099}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1897282302915, 'lng': 8.474699780291502}, 'southwest': {'lat': 47.1870302697085, 'lng': 8.472001819708497}}}, 'partial_match': True, 'place_id': 'ChIJmy9clZAAkEcRQQw9Ua5HSFg', 'types': ['premise']}], 'status': 'OK'}","Gewerbestrasse 5, 6330 Cham"
2,"{'results': [{'address_components': [{'long_name': '5A', 'short_name': '5A', 'types': ['street_number']}, {'long_name': 'Neuhofstrasse', 'short_name': 'Neuhofstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Neuhofstrasse 5A, 6340 Baar, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.1914599, 'lng': 8.514715599999999}, 'southwest': {'lat': 47.1912367, 'lng': 8.514339}}, 'location': {'lat': 47.1913654, 'lng': 8.5144487}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1926972802915, 'lng': 8.5158762802915}, 'southwest': {'lat': 47.1899993197085, 'lng': 8.513178319708496}}}, 'partial_match': True, 'place_id': 'ChIJsW_QeECqmkcRMAKLU-BOyoc', 'types': ['premise']}], 'status': 'OK'}","Neuhofstrasse 5A, 6340 Baar"
3,"{'results': [{'address_components': [{'long_name': '76B', 'short_name': '76B', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 76B, 6340 Baar, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.18342879999999, 'lng': 8.518711399999999}, 'southwest': {'lat': 47.1830714, 'lng': 8.5184587}}, 'location': {'lat': 47.1832252, 'lng': 8.518616999999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.18459908029149, 'lng': 8.519934030291502}, 'southwest': {'lat': 47.18190111970849, 'lng': 8.517236069708497}}}, 'partial_match': True, 'place_id': 'ChIJP8SgAkWqmkcR35s6I_75uNk', 'types': ['premise']}], 'status': 'OK'}","Zugerstrasse 76B, 6340 Baar"
4,"{'results': [{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Alte Steinhauserstrasse', 'short_name': 'Alte Steinhauserstrasse', 'types': ['route']}, {'long_name': 'Cham', 'short_name': 'Cham', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6330', 'short_name': '6330', 'types': ['postal_code']}], 'formatted_address': 'Alte Steinhauserstrasse 1, 6330 Cham, Switzerland', 'geometry': {'location': {'lat': 47.1877443, 'lng': 8.4737621}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1890932802915, 'lng': 8.475111080291502}, 'southwest': {'lat': 47.1863953197085, 'lng': 8.472413119708499}}}, 'partial_match': True, 'place_id': 'ChIJ3W_Fc5AAkEcRiCQJ97oGhXI', 'plus_code': {'compound_code': '5FQF+3G Cham, Switzerland', 'global_code': '8FVC5FQF+3G'}, 'types': ['street_address']}], 'status': 'OK'}","Alte Steinhauserstrasse 1, 6330 Cham"
5,"{'results': [{'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Oberneuhofstrasse', 'short_name': 'Oberneuhofstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Oberneuhofstrasse 5, 6340 Baar, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.1893902, 'lng': 8.5165019}, 'southwest': {'lat': 47.1890003, 'lng': 8.5163011}}, 'location': {'lat': 47.1890701, 'lng': 8.5164049}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.19054423029149, 'lng': 8.517750480291502}, 'southwest': {'lat': 47.18784626970849, 'lng': 8.515052519708497}}}, 'partial_match': True, 'place_id': 'ChIJ3R8r2kCqmkcRpk-vlz1FHPU', 'types': ['premise']}], 'status': 'OK'}","Oberneuhofstrasse 5, 6340 Baar"
6,"{'results': [{'address_components': [{'long_name': '14', 'short_name': '14', 'types': ['street_number']}, {'long_name': 'Rathausstrasse', 'short_name': 'Rathausstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Rathausstrasse 14, 6340 Baar, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.1954628, 'lng': 8.5270174}, 'southwest': {'lat': 47.1947974, 'lng': 8.526231}}, 'location': {'lat': 47.1951306, 'lng': 8.5267313}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1964790802915, 'lng': 8.527973180291502}, 'southwest': {'lat': 47.1937811197085, 'lng': 8.525275219708497}}}, 'partial_match': True, 'place_id': 'ChIJi1TuSTeqmkcRsPQrF1Hlg54', 'types': ['premise']}], 'status': 'OK'}","Rathausstrasse 14, 6340 Baar"
7,"{'results': [{'address_components': [{'long_name': 'Bahnhofplatz', 'short_name': 'Bahnhofplatz', 'types': ['premise']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6300', 'short_name': '6300', 'types': ['postal_code']}], 'formatted_address': 'Bahnhofplatz, 6300 Zug, Switzerland', 'geometry': {'location': {'lat': 47.1736681, 'lng': 8.5153356}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1750170802915, 'lng': 8.516684580291502}, 'southwest': {'lat': 47.1723191197085, 'lng': 8.513986619708497}}}, 'partial_match': True, 'place_id': 'ChIJDS_0-ViqmkcRZ1w7T65GYjI', 'plus_code': {'compound_code': '5GF8+F4 Zug, Switzerland', 'global_code': '8FVC5GF8+F4'}, 'types': ['premise']}], 'status': 'OK'}","Bahnhofplatz , 6300 Zug"
8,"{'results': [{'address_components': [{'long_name': 'Schochenmühlestrasse & 4', 'short_name': 'Schochenmühlestrasse & 4', 'types': ['intersection']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Schochenmühlestrasse & 4, 6340 Baar, Switzerland', 'geometry': {'location': {'lat': 47.1911305, 'lng': 8.512509}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.1924794802915, 'lng': 8.513857980291501}, 'southwest': {'lat': 47.1897815197085, 'lng': 8.511160019708496}}}, 'partial_match': True, 'place_id': 'EjFTY2hvY2hlbm3DvGhsZXN0cmFzc2UgJiA0LCA2MzQwIEJhYXIsIFN3aXR6ZXJsYW5kImYiZAoUChIJ-5n6BECqmkcRJ4A1P0iLykQSFAoSCfuZ-gRAqppHESeANT9Ii8pEGhQKEgll_rCTbKqaRxF-R-qO7G__eRoUChIJ4zE6Fa8FkEcR8I68-7QZjO4iCg2JyyAcFeLnEgU', 'types': ['intersection']}], 'status': 'OK'}","Schochenmühlestrasse 4, 6340 Baar"
9,"{'results': [{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Haldenstrasse', 'short_name': 'Haldenstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Haldenstrasse 1, 6340 Baar, Switzerland', 'geometry': {'location': {'lat': 47.1960905, 'lng': 8.5369929}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.19743948029149, 'lng': 8.538341880291503}, 'southwest': {'lat': 47.19474151970849, 'lng': 8.535643919708498}}}, 'partial_match': True, 'place_id': 'ChIJn6CSRTOqmkcR9uSZvyhOgV0', 'plus_code': {'compound_code': '5GWP+CQ Baar, Switzerland', 'global_code': '8FVC5GWP+CQ'}, 'types': ['street_address']}], 'status': 'OK'}","Haldenstrasse 1, 6340 Baar"
