Adresse PLZ,Unnamed: 0_x,Unnamed: 0.1,Adresse,Firmen,Seite_y,Telbuch,Seite_x,STRNAME,GDENAME,GKODE,GKODN,Vergleich,Unnamed: 0_y,Name,Zusatz,c/o,Strasse,Ergänzung,PLZ/Ort,Gemeinde,EGID,Rechtsform,MWSt-Start,Ort
"Haldenstrasse 5, 6340 Baar",0,0,258,0,0,0,0,0,0,0,0,0,258,258,0,258,258,0,258,258,183,257,226,258
"Gewerbestrasse 5, 6330 Cham",0,0,218,0,0,0,0,0,0,0,0,0,218,218,0,218,218,0,218,218,153,211,199,218
"Neuhofstrasse 5A, 6340 Baar",0,0,216,0,0,0,0,0,0,0,0,0,216,216,0,216,216,0,216,216,166,155,157,216
"Zugerstrasse 76B, 6340 Baar",0,0,181,0,0,0,0,0,0,0,0,0,181,181,0,181,181,0,181,181,126,174,156,181
"Alte Steinhauserstrasse 1, 6330 Cham",0,0,179,0,0,0,0,0,0,0,0,0,179,179,0,179,179,0,179,179,149,169,166,179
"Oberneuhofstrasse 5, 6340 Baar",0,0,178,0,0,0,0,0,0,0,0,0,178,178,0,178,178,0,178,178,126,169,162,178
"ohne Domizil-sans domicile-senza indirizzo , 6300 Zug",0,0,172,0,0,0,0,0,0,0,0,0,172,172,0,172,172,0,172,172,92,80,78,172
"Rathausstrasse 14, 6340 Baar",0,0,160,0,0,0,0,0,0,0,0,0,160,160,0,160,160,0,160,160,129,148,143,160
"Bahnhofplatz , 6300 Zug",0,0,140,0,0,0,0,0,0,0,0,0,140,140,0,140,140,0,140,140,79,134,111,140
"Schochenmühlestrasse 4, 6340 Baar",0,0,131,0,0,0,0,0,0,0,0,0,131,131,0,131,131,0,131,131,99,102,98,131
"Haldenstrasse 1, 6340 Baar",0,0,122,0,0,0,0,0,0,0,0,0,122,122,2,122,122,0,122,122,96,112,108,122
"Bahnhofstrasse 9, 6340 Baar",0,0,103,0,0,0,0,0,0,0,0,0,103,103,0,103,103,0,103,103,71,90,87,103
"Industriestrasse 3, 6345 Neuheim",0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,100,0,100,100,74,93,85,100
"Dammstrasse 16, 6300 Zug",0,0,92,0,0,0,0,0,0,0,0,0,92,92,0,92,92,0,92,92,46,84,63,92
"Oberneuhofstrasse 3, 6340 Baar",0,0,91,0,0,0,0,0,0,0,0,0,91,91,0,91,91,0,91,91,60,88,80,91
"Blegistrasse 1, 6343 Rotkreuz",0,0,86,0,0,0,0,0,0,0,0,0,86,86,0,86,86,0,86,86,66,83,81,86
"Riedstrasse 7, 6330 Cham",0,0,82,0,0,0,0,0,0,0,0,0,82,82,0,82,82,0,82,82,62,81,79,82
"Bösch 80A, 6331 Hünenberg",0,0,74,0,0,0,0,0,0,0,0,0,74,74,0,74,74,0,74,74,58,61,58,74
"Oberneuhofstrasse 6, 6340 Baar",0,0,73,0,0,0,0,0,0,0,0,0,73,73,0,73,73,0,73,73,64,69,68,73
"Lättichstrasse 6, 6340 Baar",0,0,73,0,0,0,0,0,0,0,0,0,73,73,0,73,73,0,73,73,60,67,63,73
"Ruessenstrasse 6, 6340 Baar",0,0,70,0,0,0,0,0,0,0,0,0,70,70,0,70,70,0,70,70,54,70,69,70
"Lettenstrasse 7, 6343 Rotkreuz",0,0,69,0,0,0,0,0,0,0,0,0,69,69,0,69,69,0,69,69,58,66,63,69
"Grundstrasse 22A, 6343 Rotkreuz",0,0,69,0,0,0,0,0,0,0,0,0,69,69,0,69,69,0,69,69,39,67,64,69
"Blegistrasse 5, 6340 Baar",0,0,67,0,0,0,0,0,0,0,0,0,67,67,0,67,67,0,67,67,47,65,63,67
"Chamerstrasse 42A, 6331 Hünenberg",0,0,67,0,0,0,0,0,0,0,0,0,67,67,0,67,67,0,67,67,45,66,64,67
"Blegistrasse 11B, 6340 Baar",0,0,64,0,0,0,0,0,0,0,0,0,64,64,0,64,64,0,64,64,47,62,55,64
"Seestrasse 1, 6330 Cham",0,0,62,0,0,0,0,0,0,0,0,0,62,62,0,62,62,0,62,62,42,59,59,62
"Gewerbestrasse 6, 6330 Cham",0,0,62,0,0,0,0,0,0,0,0,0,62,62,0,62,62,0,62,62,43,57,57,62
"Riedstrasse 1, 6343 Rotkreuz",0,0,62,0,0,0,0,0,0,0,0,0,62,62,0,62,62,0,62,62,43,61,58,62
"ohne Domizil-sans domicile-senza indirizzo , 6340 Baar",0,0,61,0,0,0,0,0,0,0,0,0,61,61,0,61,61,0,61,61,36,25,24,61
"Ibelweg 18A, 6300 Zug",0,0,60,0,0,0,0,0,0,0,0,0,60,60,0,60,60,0,60,60,41,55,52,60
"Riedstrasse 1, 6330 Cham",0,0,58,0,0,0,0,0,0,0,0,0,58,58,0,58,58,0,58,58,47,54,55,58
"Klostermatt 4, 6330 Cham",0,0,54,0,0,0,0,0,0,0,0,0,54,54,0,54,54,0,54,54,40,48,48,54
"Lindenstrasse 2, 6340 Baar",0,0,54,0,0,0,0,0,0,0,0,0,54,54,0,54,54,0,54,54,40,48,45,54
"Fabrikstrasse 5, 6330 Cham",0,0,51,0,0,0,0,0,0,0,0,0,51,51,1,51,51,0,51,51,37,48,48,51
"Gewerbestrasse 7, 6330 Cham",0,0,50,0,0,0,0,0,0,0,0,0,50,50,0,50,50,0,50,50,42,46,46,50
"Seeblick 1, 6330 Cham",0,0,49,0,0,0,0,0,0,0,0,0,49,49,0,49,49,0,49,49,37,46,46,49
