,output,Adresse
0,"{'results': [{'address_components': [{'long_name': '6', 'short_name': '6', 'types': ['street_number']}, {'long_name': 'Sonneggstrasse', 'short_name': 'Sonneggstrasse', 'types': ['route']}, {'long_name': 'Cham', 'short_name': 'Cham', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6330', 'short_name': '6330', 'types': ['postal_code']}], 'formatted_address': 'Sonneggstrasse 6, 6330 Cham, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.1841119, 'lng': 8.462064999999999}, 'southwest': {'lat': 47.1838843, 'lng': 8.4618533}}, 'location': {'lat': 47.18399160000001, 'lng': 8.4619129}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1853470802915, 'lng': 8.463308130291502}, 'southwest': {'lat': 47.1826491197085, 'lng': 8.460610169708497}}}, 'partial_match': True, 'place_id': 'ChIJldIpMY0AkEcRx_vG8J19zGc', 'types': ['premise']}], 'status': 'OK'}","Sonneggstrasse 6, 6330 Cham"
1,"{'results': [{'address_components': [{'long_name': '142A', 'short_name': '142A', 'types': ['street_number']}, {'long_name': 'Sihlbruggstrasse', 'short_name': 'Sihlbruggstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Sihlbruggstrasse 142A, 6340 Baar, Switzerland', 'geometry': {'location': {'lat': 47.2146309, 'lng': 8.571183399999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.21597988029149, 'lng': 8.572532380291502}, 'southwest': {'lat': 47.2132819197085, 'lng': 8.569834419708497}}}, 'partial_match': True, 'place_id': 'ChIJ61zt8FypmkcRxeSTh5is3r4', 'plus_code': {'compound_code': '6H7C+VF Baar, Switzerland', 'global_code': '8FVC6H7C+VF'}, 'types': ['street_address']}], 'status': 'OK'}","Sihlbruggstrasse 142A, 6340 Baar"
2,"{'results': [{'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['street_number']}, {'long_name': 'Sonneguet', 'short_name': 'Sonneguet', 'types': ['route']}, {'long_name': 'Hünenberg', 'short_name': 'Hünenberg', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6331', 'short_name': '6331', 'types': ['postal_code']}], 'formatted_address': 'Sonneguet 4, 6331 Hünenberg, Switzerland', 'geometry': {'location': {'lat': 47.1722547, 'lng': 8.4188371}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.17360368029149, 'lng': 8.420186080291503}, 'southwest': {'lat': 47.1709057197085, 'lng': 8.417488119708498}}}, 'partial_match': True, 'place_id': 'ChIJqbP0sqUBkEcRPpnihcCeuZA', 'plus_code': {'compound_code': '5CC9+WG Hünenberg, Switzerland', 'global_code': '8FVC5CC9+WG'}, 'types': ['street_address']}], 'status': 'OK'}","Sonneguet 4, 6331 Hünenberg"
3,"{'results': [{'address_components': [{'long_name': '18B', 'short_name': '18B', 'types': ['street_number']}, {'long_name': 'Sonnenberg', 'short_name': 'Sonnenberg', 'types': ['route']}, {'long_name': 'Menzingen', 'short_name': 'Menzingen', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6313', 'short_name': '6313', 'types': ['postal_code']}], 'formatted_address': 'Sonnenberg 18B, 6313 Menzingen, Switzerland', 'geometry': {'location': {'lat': 47.1748224, 'lng': 8.5978754}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1761713802915, 'lng': 8.599224380291501}, 'southwest': {'lat': 47.1734734197085, 'lng': 8.596526419708498}}}, 'partial_match': True, 'place_id': 'ChIJndAqBmasmkcRvBwAlWNbGw4', 'plus_code': {'compound_code': '5HFX+W5 Menzingen, Switzerland', 'global_code': '8FVC5HFX+W5'}, 'types': ['street_address']}], 'status': 'OK'}","Sonnenberg 18B, 6313 Menzingen"
4,"{'results': [{'address_components': [{'long_name': '140', 'short_name': '140', 'types': ['street_number']}, {'long_name': 'Sihlbruggstrasse', 'short_name': 'Sihlbruggstrasse', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Sihlbruggstrasse 140, 6340 Baar, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.2147657, 'lng': 8.5707945}, 'southwest': {'lat': 47.2144135, 'lng': 8.5704544}}, 'location': {'lat': 47.2145705, 'lng': 8.5706164}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.2159385802915, 'lng': 8.571973430291502}, 'southwest': {'lat': 47.2132406197085, 'lng': 8.569275469708499}}}, 'partial_match': True, 'place_id': 'ChIJCZF9_lypmkcR23wdP4TalgA', 'types': ['premise']}], 'status': 'OK'}","Sihlbruggstrasse 140, 6341 Baar"
5,"{'results': [{'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Steinhausen', 'short_name': 'Steinhausen', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6312', 'short_name': '6312', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 2, 6312 Steinhausen, Switzerland', 'geometry': {'location': {'lat': 47.1967003, 'lng': 8.4847055}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.19804928029149, 'lng': 8.486054480291502}, 'southwest': {'lat': 47.19535131970849, 'lng': 8.483356519708497}}}, 'partial_match': True, 'place_id': 'ChIJt52TcqEAkEcRUQfpkn6YdBU', 'plus_code': {'compound_code': '5FWM+MV Steinhausen, Switzerland', 'global_code': '8FVC5FWM+MV'}, 'types': ['street_address']}], 'status': 'OK'}","Zugerstrasse 2, 6312 Steinhausen"
6,"{'results': [{'address_components': [{'long_name': '38', 'short_name': '38', 'types': ['street_number']}, {'long_name': 'Sonnenberg', 'short_name': 'Sonnenberg', 'types': ['route']}, {'long_name': 'Menzingen', 'short_name': 'Menzingen', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6313', 'short_name': '6313', 'types': ['postal_code']}], 'formatted_address': 'Sonnenberg 38, 6313 Menzingen, Switzerland', 'geometry': {'location': {'lat': 47.1749933, 'lng': 8.599253299999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.17634228029149, 'lng': 8.6006022802915}, 'southwest': {'lat': 47.17364431970849, 'lng': 8.597904319708496}}}, 'partial_match': True, 'place_id': 'ChIJr5ZUH2asmkcR9cnJ_EJ9NXc', 'plus_code': {'compound_code': '5HFX+XP Menzingen, Switzerland', 'global_code': '8FVC5HFX+XP'}, 'types': ['street_address']}], 'status': 'OK'}","Sonnenberg 38, 6313 Menzingen"
7,"{'results': [{'address_components': [{'long_name': '42', 'short_name': '42', 'types': ['street_number']}, {'long_name': 'Sonnenberg', 'short_name': 'Sonnenberg', 'types': ['route']}, {'long_name': 'Menzingen', 'short_name': 'Menzingen', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6313', 'short_name': '6313', 'types': ['postal_code']}], 'formatted_address': 'Sonnenberg 42, 6313 Menzingen, Switzerland', 'geometry': {'location': {'lat': 47.174541, 'lng': 8.599507299999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.17588998029149, 'lng': 8.600856280291502}, 'southwest': {'lat': 47.17319201970849, 'lng': 8.598158319708498}}}, 'partial_match': True, 'place_id': 'ChIJ9eqCPGasmkcRxST8gJsuAcg', 'plus_code': {'compound_code': '5HFX+RR Menzingen, Switzerland', 'global_code': '8FVC5HFX+RR'}, 'types': ['street_address']}], 'status': 'OK'}","Sonnenberg 42, 6313 Menzingen"
8,"{'results': [{'address_components': [{'long_name': '9', 'short_name': '9', 'types': ['street_number']}, {'long_name': 'Sonnhalde', 'short_name': 'Sonnhalde', 'types': ['route']}, {'long_name': 'Edlibach', 'short_name': 'Edlibach', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6313', 'short_name': '6313', 'types': ['postal_code']}], 'formatted_address': 'Sonnhalde 9, 6313 Edlibach, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.18143360000001, 'lng': 8.575427600000001}, 'southwest': {'lat': 47.1812774, 'lng': 8.5751862}}, 'location': {'lat': 47.18134149999999, 'lng': 8.5752565}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.18270448029151, 'lng': 8.576655880291502}, 'southwest': {'lat': 47.18000651970851, 'lng': 8.573957919708498}}}, 'partial_match': True, 'place_id': 'ChIJE6yIso6rmkcRQLhhiP9flZQ', 'types': ['premise']}], 'status': 'OK'}","Sonnhalde 9, 6313 Edlibach"
9,"{'results': [{'address_components': [{'long_name': '26B', 'short_name': '26B', 'types': ['street_number']}, {'long_name': 'Sonnhaldenstrasse', 'short_name': 'Sonnhaldenstrasse', 'types': ['route']}, {'long_name': 'Hünenberg', 'short_name': 'Hünenberg', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6331', 'short_name': '6331', 'types': ['postal_code']}], 'formatted_address': 'Sonnhaldenstrasse 26B, 6331 Hünenberg, Switzerland', 'geometry': {'location': {'lat': 47.1770686, 'lng': 8.4239517}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1784175802915, 'lng': 8.425300680291501}, 'southwest': {'lat': 47.1757196197085, 'lng': 8.422602719708497}}}, 'partial_match': True, 'place_id': 'ChIJ06bpbagBkEcR7LYJryoQmvI', 'plus_code': {'compound_code': '5CGF+RH Hünenberg, Switzerland', 'global_code': '8FVC5CGF+RH'}, 'types': ['street_address']}], 'status': 'OK'}","Sonnhaldenstrasse 26B, 6331 Hünenberg"
