EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
314345;0;ZG;1704;Menzingen;Haldenstrasse;1;6313;0;Menzingen;2686997.097;1225980.385;de
314348;0;ZG;1704;Menzingen;Haldenstrasse;5;6313;0;Menzingen;2686961.879;1226013.396;de
314350;0;ZG;1704;Menzingen;Haldenstrasse;7;6313;0;Menzingen;2686942.836;1226024.222;de
314351;0;ZG;1704;Menzingen;Haldenstrasse;9;6313;0;Menzingen;2686925.27;1226036.14;de
314352;0;ZG;1704;Menzingen;Haldenstrasse;11;6313;0;Menzingen;2686912.083;1226045.053;de
314353;0;ZG;1704;Menzingen;Haldenstrasse;13;6313;0;Menzingen;2686898.038;1226054.82;de
314354;0;ZG;1704;Menzingen;Haldenstrasse;15;6313;0;Menzingen;2686876.85;1226053.067;de
314355;0;ZG;1704;Menzingen;Haldenstrasse;17;6313;0;Menzingen;2686848.953;1226079.731;de
314356;0;ZG;1704;Menzingen;Haldenstrasse;19;6313;0;Menzingen;2686827.708;1226088.766;de
314358;0;ZG;1704;Menzingen;Seminarstrasse;3;6313;0;Menzingen;2687056.338;1225929.622;de
314359;0;ZG;1704;Menzingen;Seminarstrasse;1;6313;0;Menzingen;2687077.369;1225918.57;de
314361;0;ZG;1704;Menzingen;Seminarstrasse;4;6313;0;Menzingen;2687079.764;1225927.796;de
314362;0;ZG;1704;Menzingen;Seminarstrasse;7;6313;0;Menzingen;2686999.862;1226078.707;de
314363;0;ZG;1704;Menzingen;Neuhusstrasse;1;6313;0;Menzingen;2687188.443;1225934.633;de
314364;0;ZG;1704;Menzingen;Neuhusstrasse;3;6313;0;Menzingen;2687183.246;1225955.096;de
314365;0;ZG;1704;Menzingen;Neuhusstrasse;4;6313;0;Menzingen;2687195.779;1225965.179;de
314367;0;ZG;1704;Menzingen;Neuhusstrasse;6;6313;0;Menzingen;2687176.419;1226022.33;de
314368;0;ZG;1704;Menzingen;Vorderneuhus;;6313;0;Menzingen;2687227.824;1225969.842;de
314369;0;ZG;1704;Menzingen;Wiesenweg;1;6313;0;Menzingen;2687210.207;1225945.061;de
314370;0;ZG;1704;Menzingen;Kirchgasse;3;6313;0;Menzingen;2687235.884;1225933.198;de
314371;0;ZG;1704;Menzingen;Kirchgasse;6;6313;0;Menzingen;2687244.514;1225941.627;de
314372;0;ZG;1704;Menzingen;Kirchgasse;2;6313;0;Menzingen;2687260.857;1225924.527;de
314373;0;ZG;1704;Menzingen;Kirchgasse;8;6313;0;Menzingen;2687225.566;1225928.756;de
314374;0;ZG;1704;Menzingen;Hauptstrasse;4;6313;0;Menzingen;2687250.837;1225920.611;de
314375;0;ZG;1704;Menzingen;Hauptstrasse;6;6313;0;Menzingen;2687236.914;1225919.287;de
314376;0;ZG;1704;Menzingen;Hauptstrasse;10;6313;0;Menzingen;2687211.708;1225923.894;de
314377;0;ZG;1704;Menzingen;Hauptstrasse;15;6313;0;Menzingen;2687053.464;1225908.167;de
314382;0;ZG;1704;Menzingen;Alte Landstrasse;2b;6313;0;Menzingen;2687278.486;1225857.23;de
314384;0;ZG;1704;Menzingen;Hauptstrasse;7;6313;0;Menzingen;2687255.966;1225908.745;de
314385;0;ZG;1704;Menzingen;Hauptstrasse;5;6313;0;Menzingen;2687279.359;1225915.168;de
314386;0;ZG;1704;Menzingen;Hauptstrasse;3;6313;0;Menzingen;2687289.523;1225916.277;de
314387;0;ZG;1704;Menzingen;Hauptstrasse;1;6313;0;Menzingen;2687297.762;1225920.6;de
314388;0;ZG;1704;Menzingen;Neudorfstrasse;2;6313;0;Menzingen;2687317.1;1225900.404;de
314392;0;ZG;1704;Menzingen;Eustrasse;8c;6313;0;Menzingen;2687339.725;1225720.45;de
314393;0;ZG;1704;Menzingen;Eustrasse;8b;6313;0;Menzingen;2687339.701;1225736.009;de
314394;0;ZG;1704;Menzingen;Eustrasse;8a;6313;0;Menzingen;2687339.827;1225751.836;de
314395;0;ZG;1704;Menzingen;Eustrasse;7;6313;0;Menzingen;2687354.769;1225729.449;de
314396;0;ZG;1704;Menzingen;Eustrasse;5;6313;0;Menzingen;2687359.846;1225742.409;de
314397;0;ZG;1704;Menzingen;Eustrasse;4;6313;0;Menzingen;2687335.546;1225771.348;de
314398;0;ZG;1704;Menzingen;Eustrasse;2;6313;0;Menzingen;2687324.527;1225839.105;de
314400;0;ZG;1704;Menzingen;Alte Landstrasse;4;6313;0;Menzingen;2687342.359;1225820.175;de
314401;0;ZG;1704;Menzingen;Alte Landstrasse;6;6313;0;Menzingen;2687354.447;1225816.28;de
314403;0;ZG;1704;Menzingen;Neudorfstrasse;6;6313;0;Menzingen;2687353.609;1225852.376;de
314407;0;ZG;1704;Menzingen;Neudorfstrasse;16;6313;0;Menzingen;2687438.682;1225786.17;de
314408;0;ZG;1704;Menzingen;Eustrasse;9;6313;0;Menzingen;2687366.991;1225722.465;de
314409;0;ZG;1704;Menzingen;Eustrasse;10;6313;0;Menzingen;2687359.068;1225702.662;de
314410;0;ZG;1704;Menzingen;Eustrasse;11;6313;0;Menzingen;2687398.216;1225722.367;de
314411;0;ZG;1704;Menzingen;Eustrasse;12;6313;0;Menzingen;2687399.811;1225688.772;de
314412;0;ZG;1704;Menzingen;Eustrasse;14;6313;0;Menzingen;2687397.753;1225682.674;de
314413;0;ZG;1704;Menzingen;Eustrasse;16;6313;0;Menzingen;2687393.532;1225677.057;de
314414;0;ZG;1704;Menzingen;Eustrasse;20;6313;0;Menzingen;2687385.267;1225666.096;de
314415;0;ZG;1704;Menzingen;Eustrasse;22;6313;0;Menzingen;2687381.014;1225660.574;de
314416;0;ZG;1704;Menzingen;Eustrasse;24;6313;0;Menzingen;2687393.273;1225656.32;de
314417;0;ZG;1704;Menzingen;Eustrasse;26;6313;0;Menzingen;2687398.495;1225653.362;de
314418;0;ZG;1704;Menzingen;Eustrasse;28;6313;0;Menzingen;2687408.258;1225648.646;de
314419;0;ZG;1704;Menzingen;Eustrasse;30;6313;0;Menzingen;2687416.558;1225645.469;de
314420;0;ZG;1704;Menzingen;Eustrasse;32;6313;0;Menzingen;2687426.764;1225640.389;de
314421;0;ZG;1704;Menzingen;Eustrasse;34;6313;0;Menzingen;2687437.068;1225637.119;de
314422;0;ZG;1704;Menzingen;Eustrasse;18;6313;0;Menzingen;2687389.44;1225671.633;de
314424;0;ZG;1704;Menzingen;Föhrenweg;2;6313;0;Menzingen;2687536.032;1225775.402;de
314425;0;ZG;1704;Menzingen;Föhrenweg;3;6313;0;Menzingen;2687533.163;1225795.176;de
314427;0;ZG;1704;Menzingen;Neudorfstrasse;23;6313;0;Menzingen;2687468.561;1225782.512;de
314428;0;ZG;1704;Menzingen;Neudorfstrasse;21;6313;0;Menzingen;2687457.572;1225796.798;de
314429;0;ZG;1704;Menzingen;Neudorfstrasse;19;6313;0;Menzingen;2687444.573;1225819.895;de
314430;0;ZG;1704;Menzingen;Neudorfstrasse;17;6313;0;Menzingen;2687421.683;1225823.201;de
314431;0;ZG;1704;Menzingen;Neudorfstrasse;15;6313;0;Menzingen;2687411.427;1225831.351;de
314432;0;ZG;1704;Menzingen;Neudorfstrasse;13;6313;0;Menzingen;2687394.545;1225844.909;de
314433;0;ZG;1704;Menzingen;Neudorfstrasse;11;6313;0;Menzingen;2687366.492;1225871.464;de
314434;0;ZG;1704;Menzingen;Neudorfstrasse;7;6313;0;Menzingen;2687351.727;1225898.493;de
314435;0;ZG;1704;Menzingen;Neudorfstrasse;5;6313;0;Menzingen;2687337.016;1225909.275;de
314436;0;ZG;1704;Menzingen;Luegetenstrasse;1;6313;0;Menzingen;2687371.149;1225892.564;de
314437;0;ZG;1704;Menzingen;Neudorfstrasse;3;6313;0;Menzingen;2687321.995;1225916.847;de
314438;0;ZG;1704;Menzingen;Holzhäusernstrasse;2;6313;0;Menzingen;2687307.757;1225931.575;de
314439;0;ZG;1704;Menzingen;Holzhäusernstrasse;4;6313;0;Menzingen;2687322.637;1225948.77;de
314441;0;ZG;1704;Menzingen;Holzhäusernstrasse;8;6313;0;Menzingen;2687356.651;1225961.177;de
314442;0;ZG;1704;Menzingen;Holzhäusernstrasse;3;6313;0;Menzingen;2687347.772;1225980.559;de
314443;0;ZG;1704;Menzingen;Oberdorfstrasse;1;6313;0;Menzingen;2687343.076;1225927.566;de
314444;0;ZG;1704;Menzingen;Oberdorfstrasse;2;6313;0;Menzingen;2687323.79;1225934.669;de
314445;0;ZG;1704;Menzingen;Oberdorfstrasse;4;6313;0;Menzingen;2687361.537;1225922.351;de
314446;0;ZG;1704;Menzingen;Oberdorfstrasse;6;6313;0;Menzingen;2687363.491;1225921.081;de
314447;0;ZG;1704;Menzingen;Neudorfstrasse;32;6313;0;Menzingen;2687678.737;1225555.772;de
314448;0;ZG;1704;Menzingen;Neudorfstrasse;28;6313;0;Menzingen;2687606.865;1225648.485;de
314449;0;ZG;1704;Menzingen;Neudorfstrasse;26;6313;0;Menzingen;2687569.385;1225682.376;de
314450;0;ZG;1704;Menzingen;Neudorfstrasse;37;6313;0;Menzingen;2687672.672;1225647.173;de
314451;0;ZG;1704;Menzingen;Gutschstrasse;21;6313;0;Menzingen;2687732.516;1225568.452;de
314452;0;ZG;1704;Menzingen;Gutschstrasse;23;6313;0;Menzingen;2687717.816;1225598.147;de
314453;0;ZG;1704;Menzingen;Gutschstrasse;19;6313;0;Menzingen;2687747.309;1225538.813;de
314454;0;ZG;1704;Menzingen;Gutschstrasse;17;6313;0;Menzingen;2687759.881;1225516.948;de
314455;0;ZG;1704;Menzingen;Gutschstrasse;15;6313;0;Menzingen;2687770.071;1225502.935;de
314456;0;ZG;1704;Menzingen;Gutschstrasse;13;6313;0;Menzingen;2687781.432;1225486.653;de
314457;0;ZG;1704;Menzingen;Gutschstrasse;7;6313;0;Menzingen;2687820.994;1225444.734;de
314458;0;ZG;1704;Menzingen;Gutschstrasse;1;6313;0;Menzingen;2687866.738;1225410.212;de
314459;0;ZG;1704;Menzingen;Moosstrasse;1;6313;0;Menzingen;2688014.7;1225385.421;de
314460;0;ZG;1704;Menzingen;Moosstrasse;3;6313;0;Menzingen;2688056.161;1225429.974;de
314461;0;ZG;1704;Menzingen;Moosstrasse;5;6313;0;Menzingen;2688088.656;1225453.957;de
314462;0;ZG;1704;Menzingen;Moos;;6313;0;Menzingen;2688149.479;1225528.461;de
314464;0;ZG;1704;Menzingen;Moosstrasse;2;6313;0;Menzingen;2688065.985;1225388.979;de
314465;0;ZG;1704;Menzingen;Industriestrasse;8;6313;0;Menzingen;2688222.368;1225322.886;de
314466;0;ZG;1704;Menzingen;Chrüzegg;1;6313;0;Menzingen;2688347.953;1225267.493;de
314468;0;ZG;1704;Menzingen;Gutschstrasse;9;6313;0;Menzingen;2687806.441;1225453.544;de
314469;0;ZG;1704;Menzingen;Gutschstrasse;11;6313;0;Menzingen;2687791.982;1225463.307;de
314471;0;ZG;1704;Menzingen;Gutschstrasse;18;6313;0;Menzingen;2687985.442;1225446.719;de
314479;0;ZG;1704;Menzingen;Gutschstrasse;20;6313;0;Menzingen;2687930.098;1225433.034;de
314484;0;ZG;1704;Menzingen;Gutschstrasse;24;6313;0;Menzingen;2687909.022;1225450.565;de
314485;0;ZG;1704;Menzingen;Gutschstrasse;22;6313;0;Menzingen;2687875.794;1225439.174;de
314486;0;ZG;1704;Menzingen;Gutschstrasse;26;6313;0;Menzingen;2687853.525;1225453.49;de
314487;0;ZG;1704;Menzingen;Gutschstrasse;28;6313;0;Menzingen;2687851.519;1225467.266;de
314488;0;ZG;1704;Menzingen;Gutschstrasse;30;6313;0;Menzingen;2687878.582;1225469.963;de
314489;0;ZG;1704;Menzingen;Gutschstrasse;32;6313;0;Menzingen;2687874.625;1225477.202;de
314490;0;ZG;1704;Menzingen;Gutschstrasse;36;6313;0;Menzingen;2687861.483;1225490.893;de
314491;0;ZG;1704;Menzingen;Gutschstrasse;34;6313;0;Menzingen;2687834.571;1225481.175;de
314492;0;ZG;1704;Menzingen;Gutschstrasse;38;6313;0;Menzingen;2687798.816;1225503.541;de
314493;0;ZG;1704;Menzingen;Gutschstrasse;40;6313;0;Menzingen;2687784.578;1225524.964;de
314494;0;ZG;1704;Menzingen;Gutschstrasse;44;6313;0;Menzingen;2687802.196;1225568.651;de
314495;0;ZG;1704;Menzingen;Gutschstrasse;46;6313;0;Menzingen;2687769.531;1225575.36;de
314496;0;ZG;1704;Menzingen;Gutschstrasse;48;6313;0;Menzingen;2687753.277;1225605.451;de
314497;0;ZG;1704;Menzingen;Gutschstrasse;50;6313;0;Menzingen;2687742.046;1225622.884;de
314498;0;ZG;1704;Menzingen;Sonnenberg;4;6313;0;Menzingen;2687787.463;1225631.987;de
314499;0;ZG;1704;Menzingen;Sonnenberg;6;6313;0;Menzingen;2687806.421;1225605.802;de
314500;0;ZG;1704;Menzingen;Sonnenberg;8;6313;0;Menzingen;2687831.16;1225588.425;de
314501;0;ZG;1704;Menzingen;Sonnenberg;10;6313;0;Menzingen;2687846.051;1225569.081;de
314502;0;ZG;1704;Menzingen;Weid;45;6313;0;Menzingen;2687672.307;1225680.387;de
314503;0;ZG;1704;Menzingen;Weid;43;6313;0;Menzingen;2687666.077;1225698.092;de
314504;0;ZG;1704;Menzingen;Weid;41;6313;0;Menzingen;2687664.733;1225703.83;de
314505;0;ZG;1704;Menzingen;Weid;39;6313;0;Menzingen;2687663.147;1225709.691;de
314506;0;ZG;1704;Menzingen;Weid;37;6313;0;Menzingen;2687661.439;1225715.674;de
314507;0;ZG;1704;Menzingen;Weid;35;6313;0;Menzingen;2687658.512;1225727.152;de
314508;0;ZG;1704;Menzingen;Weid;33;6313;0;Menzingen;2687657.055;1225733.011;de
314509;0;ZG;1704;Menzingen;Weid;31;6313;0;Menzingen;2687655.474;1225738.87;de
314510;0;ZG;1704;Menzingen;Weid;29;6313;0;Menzingen;2687654.129;1225744.487;de
314511;0;ZG;1704;Menzingen;Weid;27;6313;0;Menzingen;2687652.54;1225750.346;de
314512;0;ZG;1704;Menzingen;Weid;25;6313;0;Menzingen;2687651.196;1225756.085;de
314513;0;ZG;1704;Menzingen;Weid;23;6313;0;Menzingen;2687646.68;1225773.669;de
314514;0;ZG;1704;Menzingen;Weid;21;6313;0;Menzingen;2687645.093;1225779.53;de
314515;0;ZG;1704;Menzingen;Weid;19;6313;0;Menzingen;2687643.508;1225785.269;de
314516;0;ZG;1704;Menzingen;Weid;17;6313;0;Menzingen;2687641.926;1225791.254;de
314517;0;ZG;1704;Menzingen;Weid;15;6313;0;Menzingen;2687640.467;1225796.75;de
314518;0;ZG;1704;Menzingen;Weid;13;6313;0;Menzingen;2687638.883;1225802.612;de
314519;0;ZG;1704;Menzingen;Weid;11;6313;0;Menzingen;2687635.83;1225814.334;de
314520;0;ZG;1704;Menzingen;Weid;9;6313;0;Menzingen;2687634.487;1225819.828;de
314521;0;ZG;1704;Menzingen;Weid;7;6313;0;Menzingen;2687633.144;1225825.201;de
314522;0;ZG;1704;Menzingen;Weid;5;6313;0;Menzingen;2687631.436;1225831.55;de
314523;0;ZG;1704;Menzingen;Weid;46;6313;0;Menzingen;2687649.571;1225688.901;de
314524;0;ZG;1704;Menzingen;Weid;44;6313;0;Menzingen;2687644.516;1225704.835;de
314525;0;ZG;1704;Menzingen;Weid;42;6313;0;Menzingen;2687642.101;1225713.516;de
314526;0;ZG;1704;Menzingen;Weid;40;6313;0;Menzingen;2687639.907;1225721.979;de
314527;0;ZG;1704;Menzingen;Weid;38;6313;0;Menzingen;2687636.953;1225734.063;de
314528;0;ZG;1704;Menzingen;Weid;36;6313;0;Menzingen;2687634.863;1225742.413;de
314529;0;ZG;1704;Menzingen;Weid;34;6313;0;Menzingen;2687632.664;1225751.095;de
314530;0;ZG;1704;Menzingen;Weid;32;6313;0;Menzingen;2687629.477;1225763.294;de
314531;0;ZG;1704;Menzingen;Weid;30;6313;0;Menzingen;2687627.281;1225771.755;de
314532;0;ZG;1704;Menzingen;Weid;28;6313;0;Menzingen;2687624.976;1225780.108;de
314533;0;ZG;1704;Menzingen;Weid;1;6313;0;Menzingen;2687582.538;1225724.727;de
314534;0;ZG;1704;Menzingen;Weid;2;6313;0;Menzingen;2687612.005;1225702.123;de
314535;0;ZG;1704;Menzingen;Weid;4;6313;0;Menzingen;2687610.418;1225707.862;de
314536;0;ZG;1704;Menzingen;Weid;6;6313;0;Menzingen;2687608.834;1225713.723;de
314537;0;ZG;1704;Menzingen;Weid;8;6313;0;Menzingen;2687607.251;1225719.584;de
314538;0;ZG;1704;Menzingen;Weid;10;6313;0;Menzingen;2687605.791;1225725.689;de
314539;0;ZG;1704;Menzingen;Weid;12;6313;0;Menzingen;2687604.325;1225731.428;de
314540;0;ZG;1704;Menzingen;Weid;14;6313;0;Menzingen;2687601.149;1225743.272;de
314541;0;ZG;1704;Menzingen;Weid;16;6313;0;Menzingen;2687599.899;1225748.274;de
314542;0;ZG;1704;Menzingen;Weid;18;6313;0;Menzingen;2687598.219;1225754.627;de
314543;0;ZG;1704;Menzingen;Weid;20;6313;0;Menzingen;2687596.754;1225760.243;de
314544;0;ZG;1704;Menzingen;Weid;26;6313;0;Menzingen;2687597.291;1225802.842;de
314545;0;ZG;1704;Menzingen;Weid;24;6313;0;Menzingen;2687567.62;1225805.697;de
314546;0;ZG;1704;Menzingen;Weid;22;6313;0;Menzingen;2687556.306;1225790.425;de
314547;0;ZG;1704;Menzingen;Weid;3;6313;0;Menzingen;2687571.691;1225762.201;de
314549;0;ZG;1704;Menzingen;Luegetenstrasse;2;6313;0;Menzingen;2687408.034;1225901.068;de
314551;0;ZG;1704;Menzingen;Luegetenstrasse;9;6313;0;Menzingen;2687544.499;1225922.644;de
314552;0;ZG;1704;Menzingen;Luegetenstrasse;11;6313;0;Menzingen;2687572.999;1225911.816;de
314553;0;ZG;1704;Menzingen;Luegetenstrasse;12;6313;0;Menzingen;2687666.859;1225891.413;de
314554;0;ZG;1704;Menzingen;Luegetenstrasse;13;6313;0;Menzingen;2687556.186;1225930.626;de
314555;0;ZG;1704;Menzingen;Luegetenstrasse;14;6313;0;Menzingen;2687662.83;1225887.625;de
314556;0;ZG;1704;Menzingen;Luegetenstrasse;15;6313;0;Menzingen;2687522.882;1225948.444;de
314557;0;ZG;1704;Menzingen;Luegetenstrasse;15b;6313;0;Menzingen;2687567.436;1225960.969;de
314558;0;ZG;1704;Menzingen;Luegetenstrasse;17;6313;0;Menzingen;2687593.204;1225916.396;de
314559;0;ZG;1704;Menzingen;Luegetenstrasse;19;6313;0;Menzingen;2687614.961;1225913.587;de
314560;0;ZG;1704;Menzingen;Luegetenstrasse;21;6313;0;Menzingen;2687669.88;1225905.751;de
314561;0;ZG;1704;Menzingen;Luegetenstrasse;26;6313;0;Menzingen;2687732.795;1225775.034;de
314562;0;ZG;1704;Menzingen;Luegetenstrasse;28;6313;0;Menzingen;2687740.316;1225748.9;de
314563;0;ZG;1704;Menzingen;Luegetenstrasse;30;6313;0;Menzingen;2687749.93;1225720.438;de
314564;0;ZG;1704;Menzingen;Luegetenstrasse;32;6313;0;Menzingen;2687761.454;1225692.317;de
314565;0;ZG;1704;Menzingen;Wiesenstrasse;1;6313;0;Menzingen;2687611.749;1225943.032;de
314566;0;ZG;1704;Menzingen;Wiesenstrasse;3;6313;0;Menzingen;2687605.157;1225962.963;de
314567;0;ZG;1704;Menzingen;Birkenweg;2;6313;0;Menzingen;2687476.22;1225832.356;de
314568;0;ZG;1704;Menzingen;Birkenweg;4;6313;0;Menzingen;2687484.102;1225818.598;de
314569;0;ZG;1704;Menzingen;Birkenweg;6;6313;0;Menzingen;2687500.584;1225817.865;de
